"ID","Date","Year","Month","Day","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
30187,2008-02-11,"2008","February",11,"Sydney",16.4,23.9,0,6.4,8,"unkn",NA,"WNW","E",9,26,78,53,1017.6,1015.3,7,8,18.9,23.7,"No","No"
30188,2008-02-12,"2008","February",12,"Sydney",18.9,27.3,0,6.8,6.7,"unkn",NA,"N","NE",7,24,68,67,1010.7,1007.5,7,7,22.9,24.7,"No","Yes"
30189,2008-02-13,"2008","February",13,"Sydney",18.4,22.8,14.4,7,3.3,"unkn",NA,"S","S",24,30,87,70,1009.2,1011.7,8,7,20.9,21,"Yes","Yes"
30190,2008-02-14,"2008","February",14,"Sydney",16.9,24.3,3,3.2,8.7,"unkn",NA,"SSW","SSE",15,19,81,51,1017.2,1016.5,7,1,18.4,23.3,"Yes","No"
30191,2008-02-15,"2008","February",15,"Sydney",18.3,24.4,0,6.2,8.5,"unkn",NA,"SW","SSE",19,22,80,56,1020.2,1018.9,7,3,19.5,23.8,"No","No"
30192,2008-02-16,"2008","February",16,"Sydney",16.7,24.1,0,6.2,8.8,"unkn",NA,"WNW","SSE",11,26,77,52,1023,1022.6,7,6,19.8,23.3,"No","No"
30193,2008-02-17,"2008","February",17,"Sydney",19.5,24.8,0,7.6,3.2,"unkn",NA,"SE","ESE",13,24,63,62,1024.7,1023.1,7,7,21.8,23.4,"No","No"
30194,2008-02-18,"2008","February",18,"Sydney",18.6,25.3,0,4.2,4.5,"unkn",NA,"SSE","ENE",13,24,70,59,1021.7,1019.4,7,6,21.2,23.8,"No","No"
30195,2008-02-19,"2008","February",19,"Sydney",19,24.8,0,5.2,7.5,"unkn",NA,"WNW","E",7,17,79,65,1018,1015.4,7,7,20.8,23.4,"No","No"
30196,2008-02-20,"2008","February",20,"Sydney",18.3,26.4,0,4.6,11.1,"unkn",NA,"W","E",13,22,80,60,1013.4,1010.8,3,1,21.3,25.2,"No","No"
30197,2008-02-21,"2008","February",21,"Sydney",20.6,26.8,0,6.8,6.4,"unkn",NA,"WNW","SE",4,15,86,62,1011.4,1009.7,7,7,22.1,24.9,"No","No"
30198,2008-02-22,"2008","February",22,"Sydney",19.1,25.4,0.4,4.4,9.4,"unkn",NA,"WNW","E",11,28,77,66,1009.2,1003.1,4,1,22.3,24.9,"No","No"
30199,2008-02-23,"2008","February",23,"Sydney",20.5,26,0,6.6,12.2,"unkn",NA,"WSW","ESE",20,24,38,45,1007.4,1007,1,1,22.5,24,"No","No"
30200,2008-02-24,"2008","February",24,"Sydney",16.5,28.3,0,8.6,12,"unkn",NA,"WNW","ESE",11,24,48,40,1007.9,1008,0,0,21.2,26.1,"No","No"
30201,2008-02-25,"2008","February",25,"Sydney",20.5,24.2,0,8.6,1.5,"unkn",NA,"E","E",15,20,58,54,1017.5,1016.9,7,7,21.6,23.5,"No","No"
30202,2008-02-26,"2008","February",26,"Sydney",19.3,26.2,0,3.6,8.4,"unkn",NA,"WSW","E",2,28,73,65,1018.3,1015.6,1,6,23,25.8,"No","Yes"
30203,2008-02-27,"2008","February",27,"Sydney",19,29,22.2,8.2,3.3,"unkn",NA,"calm","NNE",0,15,82,52,1014.1,1010.6,7,7,21.3,24.7,"Yes","Yes"
30204,2008-02-28,"2008","February",28,"Sydney",17.9,21.4,4.2,4.2,0,"unkn",NA,"S","ESE",20,9,77,88,1010,1010.1,8,8,20.4,19.2,"Yes","Yes"
30205,2008-02-29,"2008","February",29,"Sydney",14.7,20.6,33,7,8.9,"unkn",NA,"SW","S",24,28,65,51,1015.3,1015.6,5,3,17.1,19.9,"Yes","No"
30206,2008-03-01,"2008","March",1,"Sydney",12.8,22,0.2,6.2,11.3,"unkn",NA,"W","SSE",19,31,55,46,1020.9,1020.6,0,1,15.9,21.2,"No","Yes"
30207,2008-03-02,"2008","March",2,"Sydney",14.2,23.4,5.4,6.4,7.3,"unkn",NA,"W","SE",13,17,93,54,1026.2,1025.2,7,2,15.1,22.4,"Yes","No"
30208,2008-03-03,"2008","March",3,"Sydney",15,23.1,0.2,2.6,11.2,"unkn",NA,"W","ENE",15,19,78,57,1025.8,1022.5,1,1,18.2,22.5,"No","No"
30209,2008-03-04,"2008","March",4,"Sydney",15.5,25.4,0,6.8,11.3,"unkn",NA,"WNW","E",9,19,77,57,1020.5,1018.6,0,2,18.7,23.8,"No","No"
30210,2008-03-05,"2008","March",5,"Sydney",18.7,25.8,0,6,8.7,"unkn",NA,"S","ESE",19,22,72,64,1024.8,1024.2,6,3,22.6,24.1,"No","No"
30211,2008-03-06,"2008","March",6,"Sydney",19.6,26,0,5,10.4,"unkn",NA,"N","ENE",11,19,67,65,1024.2,1019.8,1,1,22.1,24.7,"No","No"
30212,2008-03-07,"2008","March",7,"Sydney",19.9,24.9,0,7.6,4.5,"unkn",NA,"SSW","SSE",13,24,83,75,1021.3,1020.7,5,7,22.9,23.3,"No","Yes"
30213,2008-03-08,"2008","March",8,"Sydney",16.5,24.8,17.4,6,9.6,"unkn",NA,"WNW","E",9,22,88,71,1023.4,1022.3,1,2,18.8,21.5,"Yes","No"
30214,2008-03-09,"2008","March",9,"Sydney",16.4,24.3,0,4.6,10.2,"unkn",NA,"W","E",9,19,82,64,1025.5,1025.2,1,2,19.7,23.8,"No","No"
30215,2008-03-10,"2008","March",10,"Sydney",19.3,26.3,0,4.6,10.8,"unkn",NA,"WNW","NE",9,24,76,50,1025.1,1022.5,1,0,22.9,25.5,"No","No"
30216,2008-03-11,"2008","March",11,"Sydney",18.6,26.1,0,7.6,11.3,"unkn",NA,"ENE","E",2,20,72,58,1022,1021.4,0,0,21.9,26,"No","No"
30217,2008-03-12,"2008","March",12,"Sydney",19.3,26.4,0,7,11.1,"unkn",NA,"W","NE",7,22,77,60,1021.9,1018.8,1,1,22.2,25,"No","No"
30218,2008-03-13,"2008","March",13,"Sydney",19.2,26.1,0,6,10.6,"unkn",NA,"WNW","ESE",6,20,84,69,1019.7,1019,1,4,22.4,25.3,"No","No"
30219,2008-03-14,"2008","March",14,"Sydney",18.8,26,0,5.4,11,"unkn",NA,"W","ENE",9,24,84,62,1022.8,1020,3,1,21.8,25.7,"No","No"
30220,2008-03-15,"2008","March",15,"Sydney",19.3,26.1,0,7,11.3,"unkn",NA,"NW","ENE",2,20,80,64,1022.1,1020.9,1,1,22.5,25.6,"No","No"
30221,2008-03-16,"2008","March",16,"Sydney",19.7,25.8,0,5.6,10.1,"unkn",NA,"W","E",7,24,81,69,1024.6,1022.6,2,2,22.8,24.7,"No","No"
30222,2008-03-17,"2008","March",17,"Sydney",19.5,25.7,0,6.4,10,"unkn",NA,"WNW","calm",4,0,82,60,1024.8,1022.8,4,1,22,25.4,"No","No"
30223,2008-03-18,"2008","March",18,"Sydney",19,26.7,0,8,9.7,"unkn",NA,"N","ENE",11,20,73,58,1023.3,1020,0,2,22.2,25.6,"No","No"
30224,2008-03-19,"2008","March",19,"Sydney",19.9,26.9,0,6.6,6.3,"unkn",NA,"SSE","E",7,13,70,60,1021.2,1019.4,5,7,23.9,24.9,"No","No"
30225,2008-03-20,"2008","March",20,"Sydney",19.7,28.1,0,6,10.4,"unkn",NA,"NNE","NE",6,17,70,58,1014.3,1009.6,2,2,23.5,27.6,"No","No"
30226,2008-03-21,"2008","March",21,"Sydney",17.7,19.6,1,7,0,"unkn",NA,"S","SSW",26,22,87,80,1017.3,1018.9,8,8,17.8,18.4,"No","Yes"
30227,2008-03-22,"2008","March",22,"Sydney",16.9,23.2,2.2,2.2,0.6,"unkn",NA,"ESE","E",24,30,81,60,1022.8,1022.2,7,7,19.6,21.7,"Yes","No"
30228,2008-03-23,"2008","March",23,"Sydney",16.3,24.8,0.4,4,6.1,"unkn",NA,"WNW","ESE",9,13,82,57,1023.1,1020.6,5,6,18.5,24.8,"No","Yes"
30229,2008-03-24,"2008","March",24,"Sydney",18.5,24.3,17,2.6,8,"unkn",NA,"NNW","ENE",7,26,95,72,1018.7,1015.3,6,2,19.9,23.3,"Yes","No"
30230,2008-03-25,"2008","March",25,"Sydney",19.8,27.5,0.4,6.4,2.5,"unkn",NA,"NE","NNW",4,17,81,58,1011.1,1006.9,5,7,21.4,27,"No","Yes"
30231,2008-03-26,"2008","March",26,"Sydney",17,27.2,19,2.4,10.5,"unkn",NA,"calm","NW",0,6,76,38,1008.9,1007.9,1,5,20.5,27.1,"Yes","No"
30232,2008-03-27,"2008","March",27,"Sydney",15,23.6,0,5.8,11,"unkn",NA,"W","ESE",20,19,52,42,1014.7,1013.4,1,1,17.5,21.8,"No","No"
30233,2008-03-28,"2008","March",28,"Sydney",15.2,21.7,0,2.6,8.3,"unkn",NA,"SSW","SE",13,17,71,51,1017.1,1016.2,4,3,18.3,21.2,"No","No"
30234,2008-03-29,"2008","March",29,"Sydney",14.4,22.9,0.2,4.8,9.3,"unkn",NA,"W","E",15,15,85,65,1015.4,1011.2,3,2,16.7,21.7,"No","No"
30235,2008-03-30,"2008","March",30,"Sydney",13.1,26.8,0,4.6,10.9,"unkn",NA,"W","WNW",22,15,61,22,1013,1009,0,1,16.9,25.9,"No","No"
30236,2008-03-31,"2008","March",31,"Sydney",13.5,25.6,0,5.8,10.4,"unkn",NA,"WNW","WNW",9,17,57,31,1015,1012.5,4,1,16.3,24.9,"No","No"
30237,2008-04-01,"2008","April",1,"Sydney",13.7,23.9,0,6.6,11,"unkn",NA,"W","ESE",20,15,55,54,1023,1021.5,1,1,16.7,23.3,"No","No"
30238,2008-04-02,"2008","April",2,"Sydney",14.1,28.7,0,3.8,10.5,"unkn",NA,"W","N",6,22,75,34,1019,1012.4,1,7,17.8,28,"No","No"
30239,2008-04-03,"2008","April",3,"Sydney",16.4,22.2,0,10.6,9.7,"unkn",NA,"SW","WSW",26,20,42,21,1009.9,1010.8,6,1,16.6,21.2,"No","No"
30240,2008-04-04,"2008","April",4,"Sydney",11.2,22.2,0,7.6,10.6,"unkn",NA,"W","E",24,15,47,37,1020.8,1019.2,1,0,13.9,21,"No","No"
30241,2008-04-05,"2008","April",5,"Sydney",11.6,22.7,0,4.2,10.7,"unkn",NA,"WNW","E",13,17,71,50,1024.5,1023.4,0,1,15.2,21,"No","No"
30242,2008-04-06,"2008","April",6,"Sydney",13.1,22.7,0,3.6,6.4,"unkn",NA,"W","ESE",13,20,71,55,1027.2,1024.6,5,6,17.7,22.1,"No","Yes"
30243,2008-04-07,"2008","April",7,"Sydney",15.3,22,12,3.2,4.7,"unkn",NA,"SSW","SSE",11,15,83,70,1026.3,1024.2,5,6,18.2,19.8,"Yes","Yes"
30244,2008-04-08,"2008","April",8,"Sydney",14.6,22.1,9.6,5.4,5.1,"unkn",NA,"SE","SE",20,17,86,75,1026.5,1024.1,6,6,17,18.9,"Yes","Yes"
30245,2008-04-09,"2008","April",9,"Sydney",15.6,22.2,22.8,5.4,5.8,"unkn",NA,"W","E",13,20,96,62,1024.6,1021.4,7,5,16.3,21.1,"Yes","Yes"
30246,2008-04-10,"2008","April",10,"Sydney",13.8,22.7,2.2,3.6,10.6,"unkn",NA,"W","E",15,15,77,60,1022.1,1019.7,5,1,18.7,21.9,"Yes","No"
30247,2008-04-11,"2008","April",11,"Sydney",14.1,23.5,0,3.2,8.9,"unkn",NA,"W","E",15,15,83,61,1020.1,1017.5,4,2,17.1,22.1,"No","No"
30248,2008-04-12,"2008","April",12,"Sydney",14,23.8,0,4,7.8,"unkn",NA,"W","E",11,9,79,59,1018.6,1016,7,4,17.6,22.2,"No","No"
30249,2008-04-13,"2008","April",13,"Sydney",15.1,22.7,0,1.8,6.6,"unkn",NA,"W","ESE",11,4,81,75,1016.4,1013.4,5,6,17.4,19.7,"No","Yes"
30250,2008-04-14,"2008","April",14,"Sydney",13.2,18.9,11,3.2,5.2,"unkn",NA,"SSW","S",19,30,82,64,1019.6,1019.2,7,3,15.9,18.8,"Yes","Yes"
30251,2008-04-15,"2008","April",15,"Sydney",13.8,19.7,2.8,2.8,1.7,"unkn",NA,"SW","S",20,22,85,71,1025.4,1023.9,7,7,15.9,19,"Yes","Yes"
30252,2008-04-16,"2008","April",16,"Sydney",13.8,20.9,1.4,4.6,2.2,"unkn",NA,"SSW","SSW",15,20,78,85,1026.4,1024.6,7,8,17.2,16.2,"Yes","Yes"
30253,2008-04-17,"2008","April",17,"Sydney",14.9,19.7,4.6,1.4,0.8,"unkn",NA,"SSW","S",17,13,91,72,1025.1,1023.4,7,7,16.4,19.4,"Yes","Yes"
30254,2008-04-18,"2008","April",18,"Sydney",15.3,20,6.4,3.2,0.3,"unkn",NA,"W","SSE",4,15,94,75,1025.4,1023.7,8,7,16.4,19.6,"Yes","Yes"
30255,2008-04-19,"2008","April",19,"Sydney",15.9,21.4,5,4.8,5,"unkn",NA,"SE","SE",22,24,51,61,1027.2,1026.1,6,7,19.3,19.5,"Yes","Yes"
30256,2008-04-20,"2008","April",20,"Sydney",15.2,19.1,2.8,4,1.3,"unkn",NA,"ESE","S",15,6,79,75,1026.6,1023.7,7,6,17.3,18.4,"Yes","Yes"
30257,2008-04-21,"2008","April",21,"Sydney",14.7,19.3,21.8,7.5,4.6,"unkn",NA,"SSW","S",9,19,91,70,1023.2,1021.4,8,7,16.6,19,"Yes","Yes"
30258,2008-04-22,"2008","April",22,"Sydney",14.4,20.3,10.2,3.6,2,"unkn",NA,"SSE","SE",9,20,90,55,1023.6,1022.3,7,5,16.1,20.1,"Yes","Yes"
30259,2008-04-23,"2008","April",23,"Sydney",14.7,17.9,12.6,4,0.7,"unkn",NA,"SW","SSE",6,22,90,89,1024,1022.1,7,7,16.2,17.2,"Yes","Yes"
30260,2008-04-24,"2008","April",24,"Sydney",14.7,20,15.6,1.6,2.5,"unkn",NA,"S","S",19,20,93,80,1021.3,1018.6,7,7,16.8,19.3,"Yes","Yes"
30261,2008-04-25,"2008","April",25,"Sydney",16.8,21.2,5.4,2.6,2.6,"unkn",NA,"SSE","S",17,15,55,69,NA,1013.9,7,7,19.7,20.3,"Yes","No"
30262,2008-04-26,"2008","April",26,"Sydney",12.7,24.8,0.4,2.6,10.2,"unkn",NA,"W","E",15,6,81,38,1011.2,1007,2,7,15.6,24.6,"No","No"
30263,2008-04-27,"2008","April",27,"Sydney",15.6,26.1,0,5.2,7.6,"unkn",NA,"NNW","N",20,22,51,28,1005.2,999.1,6,2,20.3,25.7,"No","No"
30264,2008-04-28,"2008","April",28,"Sydney",11.9,16.8,0,7.6,8.5,"unkn",NA,"W","WSW",20,24,46,33,1007.4,1008.6,2,6,13.7,15.6,"No","No"
30265,2008-04-29,"2008","April",29,"Sydney",8.6,18.4,0,3.8,10.5,"unkn",NA,"W","SSE",24,9,54,41,1020.4,1019.8,1,1,11.7,17.8,"No","No"
30266,2008-04-30,"2008","April",30,"Sydney",8.4,19.6,0,3.6,9.8,"unkn",NA,"W","E",15,17,68,50,1024.2,1021.3,1,3,11.6,18.1,"No","No"
30267,2008-05-01,"2008","May",1,"Sydney",11.6,18.2,0,4,2.7,"unkn",NA,"WNW","W",11,7,74,56,1019.7,1016.7,7,7,13.4,18.1,"No","No"
30268,2008-05-02,"2008","May",2,"Sydney",10.8,22.2,0,2.4,9.1,"unkn",NA,"W","WSW",19,17,65,44,1018.7,1015.3,1,3,14.5,21.7,"No","No"
30269,2008-05-03,"2008","May",3,"Sydney",10.9,19.6,0,3.4,10.5,"unkn",NA,"W","SSE",19,11,62,52,1019.3,1016.9,1,1,14.1,18.6,"No","No"
30270,2008-05-04,"2008","May",4,"Sydney",9.4,20.3,0,3.6,10.3,"unkn",NA,"W","SE",22,11,64,47,1021.1,1018.3,1,1,12.4,19.4,"No","No"
30271,2008-05-05,"2008","May",5,"Sydney",9.4,22.3,0,2,10,"unkn",NA,"W","NW",15,7,71,34,1018.7,1015.2,1,2,12.4,22.2,"No","No"
30272,2008-05-06,"2008","May",6,"Sydney",11.8,23.6,0,3.4,3.1,"unkn",NA,"W","WNW",9,9,74,48,1017.1,1013.3,6,7,13.7,21.1,"No","No"
30273,2008-05-07,"2008","May",7,"Sydney",13,23,0,3.6,9.4,"unkn",NA,"W","SSE",22,13,57,44,1014.3,1011.8,1,3,16.5,22,"No","No"
30274,2008-05-08,"2008","May",8,"Sydney",11,21.8,0,3.2,10.2,"unkn",NA,"W","S",24,15,63,45,1019.2,1017.5,1,1,14,20.8,"No","No"
30275,2008-05-09,"2008","May",9,"Sydney",11,21.9,0,3.2,10.1,"unkn",NA,"W","SE",17,11,75,60,1021.4,1020.2,0,1,14.3,20.6,"No","No"
30276,2008-05-10,"2008","May",10,"Sydney",12.6,21.3,0,3,9.6,"unkn",NA,"WNW","E",11,11,86,67,1022.2,1019.6,1,1,15.2,19.3,"No","No"
30277,2008-05-11,"2008","May",11,"Sydney",14,19.4,0,1.2,2.1,"unkn",NA,"WNW","SSE",13,15,84,67,1023.1,1021.2,7,7,16.8,18.7,"No","No"
30278,2008-05-12,"2008","May",12,"Sydney",12.4,19.5,0,1.6,7.3,"unkn",NA,"W","E",11,15,88,63,1023.5,1020.5,1,1,14.9,19.2,"No","No"
30279,2008-05-13,"2008","May",13,"Sydney",13.2,19.7,0,1.8,4.2,"unkn",NA,"W","E",11,9,88,67,1023.4,1021.7,6,7,15,18.1,"No","No"
30280,2008-05-14,"2008","May",14,"Sydney",11.2,20.6,0,2,9.7,"unkn",NA,"W","ENE",20,19,82,64,1023.8,1020.5,1,1,13.8,20,"No","No"
30281,2008-05-15,"2008","May",15,"Sydney",12,21.4,0.2,3.2,8.7,"unkn",NA,"W","E",13,9,90,60,1022.2,1017.8,1,1,13.9,21.3,"No","Yes"
30282,2008-05-16,"2008","May",16,"Sydney",13.8,23.2,1.2,2.2,6.4,"unkn",NA,"WNW","NE",15,15,78,66,1017.1,1013,6,2,15.9,20.9,"Yes","No"
30283,2008-05-17,"2008","May",17,"Sydney",15.2,21.8,0,4.2,6.9,"unkn",NA,"NNW","NNW",20,17,52,41,1008.4,1003.6,3,7,19.2,20.9,"No","No"
30284,2008-05-18,"2008","May",18,"Sydney",8.8,17.8,0,4.2,9.4,"unkn",NA,"W","W",19,31,57,36,1007,1006.3,1,1,11.6,17,"No","No"
30285,2008-05-19,"2008","May",19,"Sydney",10.7,20.5,0,4.4,9.9,"unkn",NA,"W","WNW",22,7,58,36,1015.7,1013.3,1,0,12.5,20.3,"No","No"
30286,2008-05-20,"2008","May",20,"Sydney",10.3,21.7,0,3,10,"unkn",NA,"W","W",24,7,64,38,1020.1,1017.5,1,1,13,21.3,"No","No"
30287,2008-05-21,"2008","May",21,"Sydney",11.1,18.9,0,2.4,6.1,"unkn",NA,"WNW","S",19,22,74,64,1022.4,1022.8,4,7,13.5,17.3,"No","No"
30288,2008-05-22,"2008","May",22,"Sydney",11.9,18.7,0,4,7.5,"unkn",NA,"SSW","SSE",20,19,63,52,1028.2,1026.2,1,2,15.1,17.4,"No","No"
30289,2008-05-23,"2008","May",23,"Sydney",11,18.4,0,3.4,5.4,"unkn",NA,"WNW","SSE",17,13,76,53,1026.9,1024.6,1,5,12.7,17.1,"No","No"
30290,2008-05-24,"2008","May",24,"Sydney",11.4,20.1,0,2.4,9.1,"unkn",NA,"W","NW",13,2,71,39,1025.4,1022.7,1,1,13.3,19.3,"No","No"
30291,2008-05-25,"2008","May",25,"Sydney",8.8,18.3,0,3.6,6.5,"unkn",NA,"W","ENE",17,11,78,58,1025.1,1022.2,4,3,11.1,16.9,"No","No"
30292,2008-05-26,"2008","May",26,"Sydney",10.9,21.1,0.4,0.4,9.1,"unkn",NA,"W","ENE",20,13,81,58,1025.9,1022.6,6,2,12.9,19.5,"No","No"
30293,2008-05-27,"2008","May",27,"Sydney",11.5,22.4,0,3.2,8.7,"unkn",NA,"W","E",15,13,82,71,1024.6,1021.8,3,1,13.6,19.1,"No","No"
30294,2008-05-28,"2008","May",28,"Sydney",11,19.2,0,1.6,3.9,"unkn",NA,"W","NE",26,2,80,74,1025.6,1023.9,3,6,12.8,18.6,"No","No"
30295,2008-05-29,"2008","May",29,"Sydney",11,18.6,1,1,4.6,"unkn",NA,"W","S",19,4,86,76,1030.2,1029.1,3,2,12.7,17.6,"No","No"
30296,2008-05-30,"2008","May",30,"Sydney",10.9,21,0.2,1.4,5.6,"unkn",NA,"W","E",19,7,87,58,1032,1028.7,1,2,12.7,19.6,"No","No"
30297,2008-05-31,"2008","May",31,"Sydney",10.8,20.1,0,1,9.4,"unkn",NA,"WNW","SSE",17,17,90,61,1028.6,1026.66,1,1,11.7,19.4,"No","No"
30298,2008-06-01,"2008","June",1,"Sydney",11.6,20.5,0.2,2.2,0.3,"unkn",NA,"W","SE",19,17,91,74,1029.3,1027,7,7,14.3,18.7,"No","Yes"
30299,2008-06-02,"2008","June",2,"Sydney",14.3,17.6,22,1.8,0.1,"unkn",NA,"W","W",9,7,97,90,1027.3,1024.8,8,7,15.3,17.1,"Yes","Yes"
30300,2008-06-03,"2008","June",3,"Sydney",15.2,19.1,4,0.4,0,"unkn",NA,"W","E",17,22,98,90,1026.4,1024.1,8,8,15.6,16.7,"Yes","Yes"
30301,2008-06-04,"2008","June",4,"Sydney",15.5,18.3,9.2,2.4,0,"unkn",NA,"SE","ESE",19,26,87,88,1023.1,1020.5,8,8,17.5,17.2,"Yes","Yes"
30302,2008-06-05,"2008","June",5,"Sydney",15.2,16.9,46.4,2.4,0,"unkn",NA,"SSW","S",24,24,82,84,1020.1,1018.6,7,8,16,16.6,"Yes","Yes"
30303,2008-06-06,"2008","June",6,"Sydney",14.7,17.4,12.4,0.4,1.8,"unkn",NA,"WSW","SSW",15,24,81,70,1021.2,1020.3,7,6,15.1,16.6,"Yes","No"
30304,2008-06-07,"2008","June",7,"Sydney",11.7,18.2,0,2.2,8.8,"unkn",NA,"W","S",19,24,76,49,1025,1025.7,1,1,13.3,17.9,"No","Yes"
30305,2008-06-08,"2008","June",8,"Sydney",12.7,17.7,6,1.4,0.5,"unkn",NA,"WNW","ESE",17,17,97,71,1032.1,1029.8,8,7,14.1,17.2,"Yes","Yes"
30306,2008-06-09,"2008","June",9,"Sydney",13,16.9,3.6,1.2,1.2,"unkn",NA,"W","ESE",13,2,96,89,1030.9,1028,7,8,13.9,16.2,"Yes","Yes"
30307,2008-06-10,"2008","June",10,"Sydney",12.4,19.9,1.6,1.6,3.9,"unkn",NA,"W","N",13,9,98,68,1027.5,1023.9,7,1,13.2,19.1,"Yes","No"
30308,2008-06-11,"2008","June",11,"Sydney",13.2,19.9,0,1.8,0,"unkn",NA,"NNW","N",6,4,74,70,1022.9,1020.6,7,8,17.3,19.6,"No","Yes"
30309,2008-06-12,"2008","June",12,"Sydney",13.7,22.1,5.4,1.8,6.9,"unkn",NA,"W","ENE",11,7,97,64,1022.4,1018.1,8,1,14.1,20.1,"Yes","No"
30310,2008-06-13,"2008","June",13,"Sydney",14,18.8,0,3.4,8.6,"unkn",NA,"NW","WSW",20,26,67,42,1012.2,1011.5,1,2,16.6,16.7,"No","No"
30311,2008-06-14,"2008","June",14,"Sydney",9.6,14.6,0,3.8,3.4,"unkn",NA,"W","SW",30,24,49,52,1022,1022.5,5,7,11.2,14.1,"No","No"
30312,2008-06-15,"2008","June",15,"Sydney",10.6,15.3,0,2.8,0.1,"unkn",NA,"SSW","SSW",24,26,75,87,1024.4,1022.8,7,8,13.7,14.5,"No","Yes"
30313,2008-06-16,"2008","June",16,"Sydney",13.3,16.8,7.2,5,2.4,"unkn",NA,"SSW","SSW",19,20,86,83,1024.2,1023,6,7,15,15.8,"Yes","Yes"
30314,2008-06-17,"2008","June",17,"Sydney",13.1,17.5,3.4,0.8,1.3,"unkn",NA,"W","SSW",11,13,88,73,1026.7,1024.8,7,7,14.2,17.3,"Yes","No"
30315,2008-06-18,"2008","June",18,"Sydney",13.6,19.4,0,1.6,4.1,"unkn",NA,"W","NE",13,2,90,69,1025.5,1022.1,7,8,14.8,19.2,"No","No"
30316,2008-06-19,"2008","June",19,"Sydney",12.8,20.3,0,2,5,"unkn",NA,"WNW","ESE",13,13,91,69,1020.3,1017.4,6,7,13.9,18.6,"No","Yes"
30317,2008-06-20,"2008","June",20,"Sydney",13.8,17.9,3.6,0.6,0.6,"unkn",NA,"W","W",19,19,81,60,1018.3,1016.2,7,7,14.3,17.2,"Yes","Yes"
30318,2008-06-21,"2008","June",21,"Sydney",11.6,18.5,2.2,1.8,9.4,"unkn",NA,"W","WSW",15,17,66,40,1020.7,1018.9,1,1,13.2,18,"Yes","No"
30319,2008-06-22,"2008","June",22,"Sydney",9.7,17.3,0,3.4,9.3,"unkn",NA,"W","SSW",22,22,61,54,1023.2,1024,1,3,11.4,16.3,"No","No"
30320,2008-06-23,"2008","June",23,"Sydney",8.2,17.1,0,3.4,7,"unkn",NA,"WNW","WSW",13,13,74,43,1023.7,1020.4,1,7,9.9,17,"No","No"
30321,2008-06-24,"2008","June",24,"Sydney",9.2,19.2,0,1.8,9.2,"unkn",NA,"W","WNW",19,9,72,45,1027,1023.1,1,1,10.7,18.8,"No","No"
30322,2008-06-25,"2008","June",25,"Sydney",9.9,19.6,0,2.8,9.8,"unkn",NA,"W","WNW",17,6,69,43,1024.6,1020.6,1,0,11.8,19.4,"No","No"
