"Date","ID","Year","Month","Day","Location","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow","TempRange","MaxTemp","MinTemp","Rainfall","monthID","Season"
2009-01-20,87251,"2009","enero",20,"Cairns",8.4,0.8,"S",37,"N","S",13,17,96,77,1012.2,1008.9,8,8,24.4,28,"Yes","Yes",5.7,29.2,23.5,57.8,"2009-enero","wet"
2009-01-21,87252,"2009","enero",21,"Cairns",2.4,11.8,"ESE",31,"S","ESE",13,20,70,57,1011.4,1007.9,5,4,29,31.8,"Yes","No",9.2,32.3,23.1,62,"2009-enero","wet"
2009-01-22,87253,"2009","enero",22,"Cairns",6.4,10.1,"NNE",24,"SE","N",9,17,68,76,1009.7,1007.3,7,6,29.8,29.8,"No","Yes",7,31,24,0.8,"2009-enero","wet"
2009-01-23,87254,"2009","enero",23,"Cairns",7.4,7.3,"NNE",22,"calm","N",0,13,81,73,1011.7,1008.5,8,6,28.6,30.6,"Yes","No",5.8,31,25.2,3.4,"2009-enero","wet"
2009-01-24,87255,"2009","enero",24,"Cairns",4.8,8.1,"NNE",28,"NNW","N",2,15,78,73,1011.7,1007.7,7,6,28.8,30.8,"No","Yes",7.1,31.8,24.7,0,"2009-enero","wet"
2009-01-25,87256,"2009","enero",25,"Cairns",5.8,5.9,"NNW",26,"W","N",11,13,75,70,1009.6,1006.9,7,7,28.4,30.8,"Yes","Yes",6.6,31.6,25,3.8,"2009-enero","wet"
2009-01-26,87257,"2009","enero",26,"Cairns",4.8,5.4,"SE",35,"SSE","E",22,7,82,61,1010.6,1007.8,7,7,27.1,31.3,"Yes","No",7,31.8,24.8,5.8,"2009-enero","wet"
2009-01-27,87258,"2009","enero",27,"Cairns",6.2,3,"ESE",37,"SSE","ESE",15,22,73,62,1010.2,1006.2,7,7,28.1,30.4,"No","No",6.4,31.5,25.1,0,"2009-enero","wet"
2009-01-28,87259,"2009","enero",28,"Cairns",5.6,3.5,"ESE",37,"SSE","ESE",15,17,71,56,1008.3,1004.7,7,7,26.9,30.6,"No","Yes",8.1,32.1,24,0,"2009-enero","wet"
2009-01-29,87260,"2009","enero",29,"Cairns",6.2,6.8,"SSE",35,"SSE","ESE",17,20,69,60,1007.2,1003.5,7,7,27.6,31.1,"Yes","No",8.5,31.5,23,11.8,"2009-enero","wet"
2009-01-30,87261,"2009","enero",30,"Cairns",7.2,4.4,"SSE",43,"SSE","NW",11,9,70,70,1005.1,1001,8,7,28.8,29.9,"No","Yes",7.9,31.7,23.8,0,"2009-enero","wet"
2009-01-31,87262,"2009","enero",31,"Cairns",3.8,3.4,"SSE",52,"S","S",19,11,92,92,1004.9,1001.9,8,8,24.7,24.7,"Yes","Yes",1.9,25.7,23.8,35.2,"2009-enero","wet"
2009-02-01,87263,"2009","febrero",1,"Cairns",2.6,0,"WNW",48,"ENE","W",6,26,95,79,1002.6,999,8,8,24.3,26.3,"Yes","Yes",4.8,28.8,24,47.4,"2009-febrero","wet"
2009-02-02,87264,"2009","febrero",2,"Cairns",2.6,1,"WNW",33,"NW","N",11,17,75,80,1001.6,998.8,8,7,28.8,29.8,"Yes","Yes",6.6,30.7,24.1,18.2,"2009-febrero","wet"
2009-02-03,87265,"2009","febrero",3,"Cairns",4,0.3,"SSE",24,"calm","SSE",0,15,94,82,1002.2,998.6,8,7,26,28.3,"Yes","Yes",5.1,29.5,24.4,6.6,"2009-febrero","wet"
2009-02-04,87266,"2009","febrero",4,"Cairns",3.8,1.7,"NW",30,"SE","SSE",13,15,96,73,1002.1,998.7,8,7,24.9,30,"Yes","Yes",6.1,30.2,24.1,37.2,"2009-febrero","wet"
2009-02-05,87267,"2009","febrero",5,"Cairns",8,5.5,"SE",41,"SE","SSE",13,20,84,70,1001.9,998.8,7,7,27.1,30.5,"Yes","Yes",7.3,31.5,24.2,63.4,"2009-febrero","wet"
2009-02-06,87268,"2009","febrero",6,"Cairns",6.6,1.9,"SSE",35,"SSE","NNE",9,13,89,82,1000,998.4,7,7,25.9,28.3,"Yes","Yes",6.1,30.5,24.4,48.4,"2009-febrero","wet"
2009-02-07,87269,"2009","febrero",7,"Cairns",5,1.9,"N",31,"calm","N",0,17,94,83,1004.3,1002.2,8,7,27,29.1,"Yes","Yes",4.4,29.7,25.3,53.2,"2009-febrero","wet"
2009-02-08,87270,"2009","febrero",8,"Cairns",3.4,3.1,"S",22,"NE","NNE",2,9,89,82,1006.2,1005,7,7,27.6,29.5,"Yes","Yes",5.3,29.9,24.6,121.6,"2009-febrero","wet"
2009-02-09,87271,"2009","febrero",9,"Cairns",2.8,1.9,"N",30,"ENE","NNW",7,17,82,85,1009.3,1007.3,7,7,28.5,28.3,"Yes","Yes",5.1,30.1,25,6.8,"2009-febrero","wet"
2009-02-10,87272,"2009","febrero",10,"Cairns",3,5.4,"WNW",28,"NNW","NNW",6,9,76,84,1010.3,1007.6,7,7,29,28.2,"Yes","Yes",5.3,29.9,24.6,13.2,"2009-febrero","wet"
2009-02-11,87273,"2009","febrero",11,"Cairns",5.6,9.6,"N",31,"NNW","N",11,24,71,75,1009.4,1006.7,8,7,29.2,30.4,"Yes","Yes",6.6,31.5,24.9,2,"2009-febrero","wet"
2009-02-12,87274,"2009","febrero",12,"Cairns",7.2,7,"SSE",28,"S","NNW",6,17,92,77,1008.8,1006.5,7,7,25.9,30,"Yes","No",5.6,30.4,24.8,15.2,"2009-febrero","wet"
2009-02-13,87275,"2009","febrero",13,"Cairns",5,6.7,"NNE",28,"calm","N",0,17,77,73,1009.7,1007.3,7,7,28.2,30.6,"No","Yes",6.5,31.5,25,0,"2009-febrero","wet"
2009-02-14,87276,"2009","febrero",14,"Cairns",8.8,1.6,"W",30,"W","NNE",7,13,89,75,1009.8,1006.4,8,7,26.3,30.1,"Yes","No",6.5,30.7,24.2,69.2,"2009-febrero","wet"
2009-02-15,87277,"2009","febrero",15,"Cairns",3.2,8.5,"N",26,"W","N",9,17,76,77,1008.2,1004.7,3,6,29.1,30.6,"No","No",7.5,31.9,24.4,0,"2009-febrero","wet"
2009-02-16,87278,"2009","febrero",16,"Cairns",5,11.6,"N",28,"ESE","N",6,19,71,69,1006.2,1003.3,1,2,29.6,30.9,"No","No",8,32.7,24.7,0,"2009-febrero","wet"
2009-02-17,87279,"2009","febrero",17,"Cairns",5.2,10.7,"NE",31,"calm","NE",0,19,60,57,1005.1,1002.2,3,2,29.4,31.5,"No","No",9.7,33.5,23.8,0,"2009-febrero","wet"
2009-02-18,87280,"2009","febrero",18,"Cairns",6.8,6.8,"NE",28,"calm","NNE",0,13,63,49,1005.5,1002,1,1,28.7,32.1,"No","No",10.2,32.8,22.6,0,"2009-febrero","wet"
2009-02-19,87281,"2009","febrero",19,"Cairns",7.4,8.7,"N",26,"ESE","N",9,15,59,63,1007.7,1005.5,4,8,29.8,31.9,"No","No",9.5,32.5,23,0,"2009-febrero","wet"
2009-02-20,87282,"2009","febrero",20,"Cairns",5.6,9.7,"ENE",28,"S","NE",13,17,70,63,1009.4,1006.3,5,6,30,31.6,"No","No",7.9,32.7,24.8,0,"2009-febrero","wet"
2009-02-21,87283,"2009","febrero",21,"Cairns",6.2,5,"ESE",35,"S","ESE",15,13,65,60,1007.9,1004.2,3,7,29.5,31.4,"No","Yes",7.9,33,25.1,0,"2009-febrero","wet"
2009-02-22,87284,"2009","febrero",22,"Cairns",7,4.9,"S",35,"S","ENE",15,20,83,72,1008.1,1005.5,7,7,27.8,30.2,"Yes","Yes",6.8,31,24.2,27.4,"2009-febrero","wet"
2009-02-23,87285,"2009","febrero",23,"Cairns",6.4,4,"NNE",33,"WNW","NE",7,19,83,71,1009.5,1007.1,7,7,26.7,30.4,"Yes","Yes",7.4,31.2,23.8,28.4,"2009-febrero","wet"
2009-02-24,87286,"2009","febrero",24,"Cairns",3.4,2.8,"NNE",33,"S","NNE",20,9,83,70,1011.1,1007.9,7,7,25.2,29.2,"Yes","Yes",6.7,30.6,23.9,41.6,"2009-febrero","wet"
2009-02-25,87287,"2009","febrero",25,"Cairns",6.2,7.5,"ENE",31,"SE","ESE",13,20,85,61,1011.2,1007.7,7,6,24.7,30.7,"Yes","No",9.4,32,22.6,17,"2009-febrero","wet"
2009-02-26,87288,"2009","febrero",26,"Cairns",7,3,"SSE",35,"S","SE",13,22,72,68,1010.1,1007.4,7,7,28.6,29.6,"No","Yes",6.5,31.2,24.7,0,"2009-febrero","wet"
2009-02-27,87289,"2009","febrero",27,"Cairns",3.6,5,"SE",44,"SSE","SSE",17,28,70,71,1009.7,1007.2,4,7,28,29.2,"Yes","Yes",7.4,31,23.6,1.2,"2009-febrero","wet"
2009-02-28,87290,"2009","febrero",28,"Cairns",4.8,9.7,"ESE",44,"SSE","SE",26,31,64,57,1010.5,1007.2,2,1,28.4,31.6,"Yes","No",7.4,32,24.6,2,"2009-febrero","wet"
2009-03-01,87291,"2009","marzo",1,"Cairns",9.4,11.1,"ESE",44,"SSE","ESE",22,28,61,44,1010.6,1008.3,2,1,28.2,31.2,"No","No",10,31.8,21.8,0,"2009-marzo","wet"
2009-03-02,87292,"2009","marzo",2,"Cairns",10.6,10.9,"SE",48,"SSE","ESE",20,31,61,53,1010.8,1007.4,1,1,27.7,30.9,"No","No",9.8,32,22.2,0,"2009-marzo","wet"
2009-03-03,87293,"2009","marzo",3,"Cairns",8.8,11,"SE",43,"SSE","ESE",20,31,61,57,1011.7,1008.4,1,1,28.7,31.3,"No","No",7.9,32.5,24.6,0,"2009-marzo","wet"
2009-03-04,87294,"2009","marzo",4,"Cairns",8.6,5.5,"SE",43,"SSE","SE",20,28,71,66,1010.6,1008.1,7,7,28.9,30.1,"No","No",6.3,31.7,25.4,0,"2009-marzo","wet"
2009-03-05,87295,"2009","marzo",5,"Cairns",7,8.4,"SE",43,"SSE","ESE",17,31,70,50,1009.4,1006,7,7,29.3,32.3,"No","Yes",8.7,33.9,25.2,0,"2009-marzo","wet"
2009-03-06,87296,"2009","marzo",6,"Cairns",9,0.1,"SSE",48,"SSE","SSE",20,31,93,100,1007.6,1005,8,8,25.3,24,"Yes","Yes",2.1,26.9,24.8,15.2,"2009-marzo","wet"
2009-03-07,87297,"2009","marzo",7,"Cairns",6.4,1.9,"SSE",50,"SE","NNW",4,13,78,76,1005.6,1003.8,7,8,26.9,28.9,"Yes","Yes",7,30.4,23.4,86.4,"2009-marzo","wet"
2009-03-08,87298,"2009","marzo",8,"Cairns",4.4,7.2,"NNE",33,"WSW","NE",7,24,77,71,1006.3,1003.9,6,6,28,30.5,"Yes","Yes",8.3,31.6,23.3,12.4,"2009-marzo","wet"
2009-03-09,87299,"2009","marzo",9,"Cairns",5.6,7.9,"NE",28,"NNE","NE",4,17,74,73,1009.5,1006.3,7,6,28.4,30.1,"Yes","No",7.1,30.9,23.8,2.6,"2009-marzo","wet"
2009-03-10,87300,"2009","marzo",10,"Cairns",5.6,7.1,"unkn",20,"W","E",6,13,88,73,1010.4,1007.3,7,7,26.2,30.1,"No","Yes",6.7,31.3,24.6,0,"2009-marzo","wet"
2009-03-11,87301,"2009","marzo",11,"Cairns",2.2,1.8,"ESE",33,"SSE","SE",13,20,78,66,1011.1,1007.8,6,4,28.7,30.9,"Yes","Yes",6.9,31.8,24.9,3.4,"2009-marzo","wet"
2009-03-12,87302,"2009","marzo",12,"Cairns",6.6,7.4,"ESE",35,"S","ESE",20,24,89,70,1012.4,1009.1,8,6,25.5,30.2,"Yes","Yes",6.3,30.6,24.3,11.2,"2009-marzo","wet"
2009-03-13,87303,"2009","marzo",13,"Cairns",4.6,9.7,"SE",35,"SSE","SE",15,24,73,67,1011.9,1008.3,3,5,29,30.7,"Yes","No",7.4,31.9,24.5,2.8,"2009-marzo","wet"
2009-03-14,87304,"2009","marzo",14,"Cairns",6.2,5.7,"SE",37,"SSE","SE",19,28,74,70,1011,1007.3,7,7,28.7,29.3,"No","No",7.4,31.1,23.7,0,"2009-marzo","wet"
2009-03-15,87305,"2009","marzo",15,"Cairns",6.2,9.8,"SE",39,"SSE","ESE",22,26,73,61,1010,1006.9,7,2,28.7,31,"No","No",6.2,31.8,25.6,0.4,"2009-marzo","wet"
2009-03-16,87306,"2009","marzo",16,"Cairns",6.6,8.7,"SE",35,"SSE","ESE",15,24,66,57,1009.1,1006.4,6,5,28.8,30.4,"No","No",9.1,31.7,22.6,0,"2009-marzo","wet"
2009-03-17,87307,"2009","marzo",17,"Cairns",8,7.2,"SE",33,"SSE","ESE",13,24,70,50,1008.3,1005.5,6,7,27.2,31.7,"No","No",10.9,32.6,21.7,0,"2009-marzo","wet"
2009-03-18,87308,"2009","marzo",18,"Cairns",5.4,3.4,"SE",48,"SSE","ESE",19,28,63,60,1008.6,1006.2,5,6,28.7,30.3,"No","Yes",6.7,31.5,24.8,0,"2009-marzo","wet"
2009-03-19,87309,"2009","marzo",19,"Cairns",4.8,8.1,"SE",48,"SSE","SSE",24,19,72,62,1009.3,1005.7,5,6,27.5,30.4,"Yes","No",8.2,31.8,23.6,9.8,"2009-marzo","wet"
2009-03-20,87310,"2009","marzo",20,"Cairns",7.4,10.9,"ESE",41,"SSE","ESE",24,24,67,56,1008.4,1005.2,4,3,28.5,31.7,"No","No",8.4,32.5,24.1,0,"2009-marzo","wet"
2009-03-21,87311,"2009","marzo",21,"Cairns",8,10.2,"SE",39,"SSE","ESE",17,26,61,51,1009,1005.9,7,7,28.7,31.5,"No","No",7.8,32.4,24.6,0,"2009-marzo","wet"
2009-03-22,87312,"2009","marzo",22,"Cairns",7.4,9.1,"ESE",50,"SSE","ESE",24,30,67,60,1010.2,1007.3,5,7,28.6,30.4,"No","No",8.3,32.3,24,0,"2009-marzo","wet"
2009-03-23,87313,"2009","marzo",23,"Cairns",7.8,9.7,"SE",48,"SSE","SE",24,31,61,48,1012.1,1008.7,7,7,28.3,30.5,"No","Yes",7.9,31.1,23.2,0,"2009-marzo","wet"
2009-03-24,87314,"2009","marzo",24,"Cairns",7,9.8,"SE",44,"SSE","ESE",24,30,66,53,1013.7,1011.1,4,3,27.4,30,"Yes","No",9.1,31.4,22.3,1.4,"2009-marzo","wet"
2009-03-25,87315,"2009","marzo",25,"Cairns",9.8,8.5,"SE",48,"SSE","ESE",17,28,66,52,1015.5,1012.4,8,7,27.2,29.4,"No","No",8.5,31.1,22.6,0,"2009-marzo","wet"
2009-03-26,87316,"2009","marzo",26,"Cairns",8.6,8.4,"ESE",50,"SSE","ESE",19,35,66,52,1015.8,1012.8,7,2,27,29.8,"No","No",6.8,30.8,24,0,"2009-marzo","wet"
2009-03-27,87317,"2009","marzo",27,"Cairns",7.6,10.8,"SE",43,"SSE","SE",24,28,62,47,1014.6,1011,4,6,26.6,30,"No","Yes",8.1,31,22.9,1,"2009-marzo","wet"
2009-03-28,87318,"2009","marzo",28,"Cairns",8.6,10.8,"SE",56,"SSE","SE",22,39,68,44,1013.8,1011.3,2,1,26.6,29.5,"Yes","No",8.6,30.7,22.1,5.2,"2009-marzo","wet"
2009-03-29,87319,"2009","marzo",29,"Cairns",8.2,10.5,"SE",56,"SSE","ESE",24,30,65,58,1013.1,1010,2,2,27,28.7,"No","No",7.3,30.7,23.4,0.2,"2009-marzo","wet"
2009-03-30,87320,"2009","marzo",30,"Cairns",8.8,11.3,"SSE",35,"SSE","ESE",17,20,65,47,1013.4,1009.7,1,2,26.5,30.5,"No","No",10.8,31.3,20.5,0,"2009-marzo","wet"
2009-03-31,87321,"2009","marzo",31,"Cairns",5.6,11,"NE",26,"NNE","NNE",4,15,56,63,1012.2,1009.4,0,1,26.1,28.7,"No","No",11.8,29.5,17.7,0,"2009-marzo","wet"
2009-04-01,87322,"2009","abril",1,"Cairns",4.8,11.1,"NNE",20,"calm","N",0,13,70,51,1011.3,1008.8,0,1,25.8,29.4,"No","No",12.4,31.2,18.8,0,"2009-abril","wet"
2009-04-02,87323,"2009","abril",2,"Cairns",6,11,"N",26,"SE","NNE",11,13,65,58,1012.3,1010.2,1,1,26.9,29.2,"No","No",10.5,30.4,19.9,0,"2009-abril","wet"
2009-04-03,87324,"2009","abril",3,"Cairns",5.4,10.8,"NE",28,"E","NNE",4,15,63,64,1012.9,1010.4,1,1,26.3,28.9,"No","No",10.5,29.8,19.3,0,"2009-abril","wet"
